Ages,Gender,Height,Weight,Activity Level,Dietary Preference,Daily Calorie Target,Protein,Sugar,Sodium,Calories,Carbohydrates,Fiber,Fat
22,Female,168.0,55.0,Moderately Active,Vegetarian,1600.0,70.0,90.0,14.0,1360.0,180.0,21.6,40.0
25,Female,165.0,55.0,Moderately Active,Omnivore,1800.0,75.0,100.0,15.0,1640.0,200.0,24.0,60.0
32,Male,180.0,85.0,Lightly Active,Omnivore,2800.0,150.0,150.0,30.0,2520.0,300.0,36.0,80.0
58,Female,160.0,68.0,Sedentary,Vegetarian,1500.0,60.0,85.0,12.0,1280.0,170.0,20.4,40.0
40,Male,190.0,95.0,Very Active,Omnivore,3500.0,200.0,200.0,40.0,3300.0,400.0,48.0,100.0
62,Female,155.0,50.0,Sedentary,Vegan,1400.0,50.0,75.0,10.0,1070.0,150.0,18.0,30.0
28,Male,175.0,70.0,Moderately Active,Omnivore,2500.0,100.0,125.0,20.0,2030.0,250.0,30.0,70.0
65,Male,170.0,75.0,Lightly Active,Omnivore,1700.0,70.0,90.0,14.0,1450.0,180.0,21.6,50.0
35,Female,168.0,60.0,Very Active,Vegan,2500.0,100.0,150.0,20.0,2230.0,300.0,36.0,70.0
48,Male,185.0,100.0,Moderately Active,Omnivore,2200.0,90.0,110.0,18.0,1780.0,220.0,26.4,60.0
22,Female,170.0,58.0,Lightly Active,Vegetarian,2000.0,80.0,100.0,16.0,1660.0,200.0,24.0,60.0
38,Male,180.0,85.0,Lightly Active,Omnivore,2800.0,160.0,150.0,32.0,2560.0,300.0,36.0,80.0
28,Female,170.0,60.0,Very Active,Vegan,2500.0,140.0,150.0,28.0,2390.0,300.0,36.0,70.0
42,Male,185.0,95.0,Lightly Active,Omnivore,2600.0,150.0,140.0,30.0,2440.0,280.0,33.6,80.0
58,Female,155.0,50.0,Sedentary,Vegetarian,1400.0,70.0,70.0,14.0,1200.0,140.0,16.8,40.0
33,Male,190.0,100.0,Moderately Active,Vegan,2600.0,130.0,150.0,26.0,2350.0,300.0,36.0,70.0
21,Female,168.0,58.0,Very Active,Omnivore,2400.0,130.0,140.0,26.0,2270.0,280.0,33.6,70.0
38,Female,165.0,65.0,Lightly Active,Vegetarian,1800.0,80.0,100.0,16.0,1570.0,200.0,24.0,50.0
62,Male,175.0,90.0,Sedentary,Omnivore,1800.0,100.0,100.0,20.0,1650.0,200.0,24.0,50.0
45,Female,170.0,75.0,Very Active,Vegan,2500.0,140.0,150.0,28.0,2480.0,300.0,36.0,80.0
58,Male,185.0,105.0,Moderately Active,Omnivore,2000.0,110.0,110.0,22.0,1860.0,220.0,26.4,60.0
22,Female,160.0,50.0,Lightly Active,Vegan,1600.0,70.0,90.0,14.0,1360.0,180.0,21.6,40.0
70,Female,155.0,55.0,Sedentary,Vegetarian,1400.0,70.0,80.0,14.0,1280.0,160.0,19.2,40.0
30,Male,190.0,95.0,Very Active,Omnivore,3000.0,180.0,175.0,36.0,3020.0,350.0,42.0,100.0
42,Female,168.0,60.0,Moderately Active,Vegan,1800.0,80.0,100.0,16.0,1570.0,200.0,24.0,50.0
55,Male,178.0,85.0,Sedentary,Omnivore,1800.0,100.0,100.0,20.0,1650.0,200.0,24.0,50.0
38,Male,180.0,85.0,Lightly Active,Vegetarian,2500.0,120.0,150.0,24.0,2400.0,300.0,36.0,80.0
55,Female,160.0,70.0,Sedentary,Vegan,1500.0,80.0,75.0,16.0,1370.0,150.0,18.0,50.0
62,Male,175.0,95.0,Moderately Active,Omnivore,2800.0,140.0,175.0,28.0,2860.0,350.0,42.0,100.0
28,Female,170.0,65.0,Very Active,Vegetarian,2400.0,130.0,150.0,26.0,2440.0,300.0,36.0,80.0
32,Male,185.0,90.0,Lightly Active,Omnivore,2200.0,110.0,125.0,22.0,2070.0,250.0,30.0,70.0
58,Female,155.0,62.0,Sedentary,Vegan,1400.0,70.0,70.0,14.0,1200.0,140.0,16.8,40.0
40,Male,190.0,110.0,Very Active,Omnivore,3200.0,160.0,200.0,32.0,3320.0,400.0,48.0,120.0
21,Female,168.0,55.0,Lightly Active,Vegan,2000.0,90.0,110.0,18.0,1780.0,220.0,26.4,60.0
32,Female,165.0,65.0,Lightly Active,Vegetarian,1800.0,100.0,100.0,20.0,1650.0,200.0,24.0,50.0
58,Male,175.0,90.0,Sedentary,Omnivore,2000.0,120.0,125.0,24.0,2020.0,250.0,30.0,60.0
62,Female,160.0,70.0,Moderately Active,Vegan,1900.0,90.0,110.0,18.0,1780.0,220.0,26.4,60.0
28,Male,190.0,100.0,Very Active,Omnivore,3200.0,200.0,200.0,40.0,3300.0,400.0,48.0,100.0
45,Female,170.0,75.0,Lightly Active,Vegetarian,1600.0,80.0,90.0,16.0,1400.0,180.0,21.6,40.0
65,Female,155.0,60.0,Sedentary,Omnivore,1700.0,80.0,100.0,16.0,1570.0,200.0,24.0,50.0
22,Female,168.0,55.0,Very Active,Vegetarian,2400.0,140.0,150.0,28.0,2390.0,300.0,36.0,70.0
50,Male,170.0,85.0,Lightly Active,Vegan,1900.0,100.0,110.0,20.0,1820.0,220.0,26.4,60.0
25,Male,180.0,80.0,Moderately Active,Omnivore,2000.0,150.0,125.0,30.0,2140.0,250.0,30.0,60.0
55,Male,175.0,90.0,Lightly Active,Omnivore,1800.0,130.0,100.0,26.0,1860.0,200.0,24.0,60.0
28,Female,170.0,70.0,Very Active,Vegan,2500.0,175.0,175.0,35.0,2820.0,350.0,42.0,80.0
62,Female,160.0,55.0,Sedentary,Vegan,1500.0,80.0,90.0,16.0,1400.0,180.0,21.6,40.0
27,Female,172.0,75.0,Moderately Active,Vegetarian,2000.0,120.0,125.0,24.0,2020.0,250.0,30.0,60.0
45,Male,180.0,100.0,Very Active,Omnivore,2400.0,180.0,150.0,36.0,2640.0,300.0,36.0,80.0
32,Female,165.0,65.0,Lightly Active,Vegetarian,1800.0,80.0,100.0,16.0,1570.0,200.0,24.0,50.0
55,Male,175.0,90.0,Sedentary,Omnivore,1800.0,100.0,100.0,20.0,1650.0,200.0,24.0,50.0
48,Female,160.0,60.0,Sedentary,Vegan,1600.0,70.0,90.0,14.0,1360.0,180.0,21.6,40.0
62,Male,170.0,85.0,Lightly Active,Omnivore,1800.0,100.0,100.0,20.0,1650.0,200.0,24.0,50.0
22,Female,168.0,55.0,Moderately Active,Vegetarian,2200.0,120.0,125.0,24.0,2020.0,250.0,30.0,60.0
38,Male,185.0,100.0,Very Active,Omnivore,3000.0,180.0,175.0,36.0,2840.0,350.0,42.0,80.0
21,Female,158.0,50.0,Moderately Active,Vegan,1800.0,80.0,100.0,16.0,1570.0,200.0,24.0,50.0
25,Female,165.0,58.0,Lightly Active,Omnivore,1800.0,80.0,125.0,16.0,1860.0,250.0,30.0,60.0
28,Male,185.0,90.0,Very Active,Vegan,3200.0,180.0,200.0,36.0,3040.0,400.0,48.0,80.0
45,Female,170.0,70.0,Lightly Active,Vegan,1700.0,75.0,110.0,15.0,1630.0,220.0,26.4,50.0
32,Female,168.0,62.0,Moderately Active,Vegetarian,2400.0,120.0,150.0,24.0,2310.0,300.0,36.0,70.0
70,Male,170.0,75.0,Lightly Active,Vegan,1600.0,70.0,105.0,14.0,1480.0,210.0,25.2,40.0
55,Male,183.0,95.0,Sedentary,Vegetarian,2000.0,90.0,125.0,18.0,1810.0,250.0,30.0,50.0
25,Male,180.0,80.0,Moderately Active,Omnivore,2000.0,120.0,125.0,24.0,2020.0,250.0,30.0,60.0
32,Female,165.0,65.0,Lightly Active,Vegetarian,1600.0,80.0,90.0,16.0,1490.0,180.0,21.6,50.0
55,Male,175.0,95.0,Sedentary,Vegan,2200.0,100.0,150.0,20.0,2230.0,300.0,36.0,70.0
68,Female,160.0,70.0,Lightly Active,Omnivore,1400.0,70.0,75.0,14.0,1240.0,150.0,18.0,40.0
38,Female,170.0,75.0,Moderately Active,Vegan,1800.0,80.0,110.0,16.0,1740.0,220.0,26.4,60.0
42,Female,168.0,60.0,Very Active,Vegetarian,2200.0,100.0,150.0,20.0,2230.0,300.0,36.0,70.0
21,Male,190.0,100.0,Moderately Active,Vegan,2800.0,140.0,175.0,28.0,2770.0,350.0,42.0,90.0
25,Male,180.0,80.0,Moderately Active,Omnivore,2000.0,120.0,125.0,24.0,2020.0,250.0,30.0,60.0
58,Male,175.0,95.0,Lightly Active,Vegan,2200.0,100.0,150.0,20.0,2185.0,300.0,36.0,65.0
40,Female,170.0,72.0,Moderately Active,Omnivore,2500.0,150.0,175.0,30.0,2720.0,350.0,42.0,80.0
28,Male,185.0,90.0,Very Active,Vegan,3000.0,180.0,200.0,36.0,3130.0,400.0,48.0,90.0
62,Female,160.0,60.0,Sedentary,Omnivore,1800.0,80.0,110.0,16.0,1650.0,220.0,26.4,50.0
35,Male,190.0,100.0,Very Active,Vegetarian,2400.0,140.0,150.0,28.0,2390.0,300.0,36.0,70.0
22,Female,168.0,55.0,Lightly Active,Vegan,1500.0,70.0,90.0,14.0,1360.0,180.0,21.6,40.0
25,Male,180.0,85.0,Moderately Active,Omnivore,2200.0,120.0,125.0,24.0,2020.0,250.0,30.0,60.0
38,Female,165.0,68.0,Lightly Active,Vegetarian,1800.0,80.0,100.0,16.0,1570.0,200.0,24.0,50.0
55,Male,175.0,95.0,Sedentary,Vegan,1800.0,80.0,100.0,16.0,1570.0,200.0,24.0,50.0
62,Female,160.0,70.0,Lightly Active,Vegan,1500.0,70.0,87.5,14.0,1340.0,175.0,21.0,40.0
40,Female,170.0,75.0,Moderately Active,Vegetarian,2200.0,100.0,125.0,20.0,1940.0,250.0,30.0,60.0
58,Male,170.0,80.0,Sedentary,Vegan,1600.0,70.0,90.0,14.0,1360.0,180.0,21.6,40.0
65,Female,155.0,65.0,Lightly Active,Omnivore,1500.0,60.0,87.5,12.0,1300.0,175.0,21.0,40.0
45,Female,168.0,72.0,Moderately Active,Vegan,1700.0,70.0,95.0,14.0,1445.0,190.0,22.8,45.0
25,Male,180.0,80.0,Moderately Active,Omnivore,2200.0,140.0,125.0,28.0,2190.0,250.0,30.0,70.0
32,Female,165.0,65.0,Sedentary,Vegetarian,2000.0,120.0,100.0,24.0,1820.0,200.0,24.0,60.0
55,Female,160.0,70.0,Lightly Active,Omnivore,1800.0,100.0,90.0,20.0,1570.0,180.0,21.6,50.0
62,Female,155.0,55.0,Sedentary,Vegan,1600.0,80.0,80.0,16.0,1320.0,160.0,19.2,40.0
35,Male,170.0,75.0,Very Active,Vegetarian,2400.0,130.0,150.0,26.0,2350.0,300.0,36.0,70.0
22,Female,168.0,58.0,Lightly Active,Omnivore,2200.0,120.0,125.0,24.0,2020.0,250.0,30.0,60.0
58,Male,178.0,85.0,Moderately Active,Vegan,2000.0,120.0,100.0,24.0,1820.0,200.0,24.0,60.0
40,Female,172.0,78.0,Sedentary,Omnivore,1800.0,100.0,90.0,20.0,1570.0,180.0,21.6,50.0
25,Male,180.0,85.0,Moderately Active,Omnivore,2200.0,150.0,125.0,30.0,2140.0,250.0,30.0,60.0
32,Female,165.0,60.0,Lightly Active,Vegetarian,1800.0,80.0,110.0,16.0,1650.0,220.0,26.4,50.0
28,Female,170.0,70.0,Very Active,Vegan,2400.0,160.0,150.0,32.0,2470.0,300.0,36.0,70.0
62,Female,160.0,65.0,Lightly Active,Vegan,1600.0,70.0,90.0,14.0,1360.0,180.0,21.6,40.0
38,Male,185.0,95.0,Moderately Active,Omnivore,2800.0,200.0,175.0,40.0,2920.0,350.0,42.0,80.0
40,Male,190.0,110.0,Sedentary,Omnivore,2000.0,140.0,100.0,28.0,1810.0,200.0,24.0,50.0
48,Male,175.0,95.0,Very Active,Omnivore,2800.0,150.0,150.0,30.0,2520.0,300.0,36.0,80.0
55,Female,160.0,70.0,Sedentary,Vegan,1800.0,80.0,110.0,16.0,1650.0,220.0,26.4,50.0
28,Male,190.0,90.0,Moderately Active,Omnivore,2800.0,160.0,175.0,32.0,2940.0,350.0,42.0,100.0
62,Male,170.0,85.0,Lightly Active,Vegan,1800.0,80.0,100.0,16.0,1570.0,200.0,24.0,50.0
35,Female,170.0,75.0,Very Active,Vegetarian,2400.0,120.0,140.0,24.0,2320.0,280.0,33.6,80.0
40,Male,185.0,100.0,Moderately Active,Omnivore,2500.0,130.0,140.0,26.0,2270.0,280.0,33.6,70.0
29,Female,175.0,85.0,Very Active,Vegetarian,2600.0,130.0,160.0,26.0,2610.0,320.0,38.4,90.0
25,Male,180.0,80.0,Moderately Active,Omnivore,3000.0,180.0,175.0,36.0,2840.0,350.0,42.0,80.0
38,Female,165.0,65.0,Lightly Active,Vegetarian,1800.0,100.0,100.0,20.0,1650.0,200.0,24.0,50.0
55,Male,175.0,90.0,Sedentary,Omnivore,2200.0,120.0,125.0,24.0,2020.0,250.0,30.0,60.0
62,Female,160.0,70.0,Moderately Active,Vegan,2000.0,100.0,110.0,20.0,1820.0,220.0,26.4,60.0
42,Female,170.0,75.0,Lightly Active,Vegan,1700.0,90.0,90.0,18.0,1485.0,180.0,21.6,45.0
22,Female,165.0,55.0,Very Active,Vegan,2500.0,150.0,150.0,30.0,2430.0,300.0,36.0,70.0
35,Male,185.0,95.0,Moderately Active,Omnivore,2500.0,140.0,140.0,28.0,2310.0,280.0,33.6,70.0
58,Female,155.0,60.0,Sedentary,Vegan,1800.0,80.0,100.0,16.0,1570.0,200.0,24.0,50.0
25,Female,165.0,55.0,Lightly Active,Omnivore,1800.0,100.0,100.0,20.0,1740.0,200.0,24.0,60.0
32,Male,180.0,80.0,Moderately Active,Omnivore,2800.0,180.0,175.0,36.0,2840.0,350.0,42.0,80.0
58,Female,160.0,70.0,Sedentary,Vegetarian,1500.0,80.0,75.0,16.0,1370.0,150.0,18.0,50.0
38,Male,190.0,95.0,Very Active,Omnivore,3200.0,200.0,200.0,40.0,3300.0,400.0,48.0,100.0
22,Female,170.0,60.0,Lightly Active,Vegan,2000.0,100.0,125.0,20.0,2030.0,250.0,30.0,70.0
65,Male,175.0,85.0,Sedentary,Omnivore,1700.0,90.0,90.0,18.0,1620.0,180.0,21.6,60.0
40,Female,168.0,65.0,Moderately Active,Vegetarian,2200.0,120.0,140.0,24.0,2320.0,280.0,33.6,80.0
28,Male,185.0,90.0,Very Active,Vegan,3000.0,150.0,187.5,30.0,2910.0,375.0,45.0,90.0
52,Female,158.0,62.0,Sedentary,Vegan,1400.0,70.0,70.0,14.0,1200.0,140.0,16.8,40.0
35,Male,178.0,75.0,Moderately Active,Omnivore,2500.0,130.0,150.0,26.0,2440.0,300.0,36.0,80.0
25,Male,180.0,80.0,Moderately Active,Omnivore,2200.0,120.0,125.0,24.0,2020.0,250.0,30.0,60.0
35,Female,165.0,65.0,Lightly Active,Vegetarian,1800.0,80.0,100.0,16.0,1570.0,200.0,24.0,50.0
55,Female,160.0,70.0,Sedentary,Vegan,1500.0,70.0,90.0,14.0,1360.0,180.0,21.6,40.0
62,Male,175.0,85.0,Moderately Active,Omnivore,2000.0,100.0,110.0,20.0,1730.0,220.0,26.4,50.0
32,Female,168.0,60.0,Very Active,Vegetarian,2400.0,100.0,140.0,20.0,2060.0,280.0,33.6,60.0
38,Female,172.0,75.0,Lightly Active,Vegan,1600.0,70.0,90.0,14.0,1360.0,180.0,21.6,40.0
25,Male,180.0,85.0,Moderately Active,Omnivore,2200.0,150.0,125.0,30.0,2140.0,250.0,30.0,60.0
55,Female,160.0,70.0,Sedentary,Vegetarian,1600.0,70.0,90.0,14.0,1360.0,180.0,21.6,40.0
28,Male,190.0,95.0,Very Active,Omnivore,3000.0,200.0,175.0,40.0,2920.0,350.0,42.0,80.0
62,Male,175.0,80.0,Lightly Active,Omnivore,2000.0,100.0,100.0,20.0,1740.0,200.0,24.0,60.0
32,Female,170.0,68.0,Moderately Active,Vegan,2200.0,120.0,140.0,24.0,2140.0,280.0,33.6,60.0
21,Female,168.0,55.0,Sedentary,Vegan,1500.0,60.0,80.0,12.0,1240.0,160.0,19.2,40.0
27,Female,172.0,75.0,Moderately Active,Vegetarian,1900.0,80.0,105.0,16.0,1610.0,210.0,25.2,50.0
32,Female,165.0,60.0,Lightly Active,Vegan,2000.0,120.0,100.0,24.0,1730.0,200.0,24.0,50.0
55,Male,175.0,90.0,Sedentary,Omnivore,1800.0,120.0,100.0,24.0,1730.0,200.0,24.0,50.0
68,Female,160.0,70.0,Sedentary,Vegetarian,1600.0,80.0,90.0,16.0,1400.0,180.0,21.6,40.0
47,Male,168.0,115.0,Sedentary,Omnivore,2368.0,102.0,97.0,20.4,1832.0,194.0,23.28,72.0
77,Male,161.0,106.0,Sedentary,Vegan,2707.0,144.0,165.0,28.8,2760.0,330.0,39.6,96.0
51,Female,162.0,72.0,Moderately Active,Vegan,1602.0,174.0,80.5,34.8,1925.0,161.0,19.32,65.0
77,Male,185.0,101.0,Moderately Active,Vegetarian,2846.0,161.0,176.5,32.2,2902.0,353.0,42.36,94.0
53,Male,196.0,62.0,Lightly Active,Vegetarian,1802.0,105.0,85.5,21.0,1455.0,171.0,20.52,39.0
79,Female,156.0,96.0,Sedentary,Vegan,2275.0,166.0,99.5,33.2,2162.0,199.0,23.88,78.0
39,Male,153.0,58.0,Moderately Active,Omnivore,2619.0,82.0,173.5,16.4,2256.0,347.0,41.64,60.0
53,Female,194.0,60.0,Moderately Active,Vegan,2912.0,120.0,189.5,24.0,2428.0,379.0,45.48,48.0
42,Female,198.0,75.0,Moderately Active,Vegetarian,1508.0,68.0,199.5,13.6,2372.0,399.0,47.88,56.0
74,Male,184.0,82.0,Moderately Active,Vegan,1766.0,163.0,157.5,32.6,2803.0,315.0,37.8,99.0
18,Female,192.0,112.0,Moderately Active,Vegan,1616.0,173.0,186.5,34.6,2490.0,373.0,44.76,34.0
51,Male,199.0,62.0,Moderately Active,Pescatarian,2229.0,88.0,164.0,17.6,2222.0,328.0,39.36,62.0
70,Female,164.0,61.0,Very Active,Pescatarian,1944.0,141.0,142.5,28.2,2352.0,285.0,34.2,72.0
53,Male,150.0,79.0,Sedentary,Pescatarian,1859.0,132.0,153.0,26.4,2490.0,306.0,36.72,82.0
59,Female,180.0,97.0,Moderately Active,Pescatarian,2289.0,145.0,80.5,29.0,1557.0,161.0,19.32,37.0
46,Male,170.0,76.0,Sedentary,Vegan,2953.0,90.0,81.0,18.0,1674.0,162.0,19.44,74.0
34,Female,177.0,54.0,Sedentary,Pescatarian,1650.0,178.0,117.0,35.6,1999.0,234.0,28.08,39.0
44,Male,178.0,78.0,Sedentary,Pescatarian,2784.0,66.0,184.0,13.2,2447.0,368.0,44.16,79.0
52,Male,169.0,101.0,Lightly Active,Vegan,2466.0,146.0,112.0,29.2,2290.0,224.0,26.88,90.0
70,Male,166.0,54.0,Sedentary,Pescatarian,2406.0,173.0,105.5,34.6,2022.0,211.0,25.32,54.0
72,Female,179.0,58.0,Moderately Active,Pescatarian,1594.0,70.0,142.5,14.0,1951.0,285.0,34.2,59.0
44,Female,190.0,107.0,Moderately Active,Vegetarian,1922.0,161.0,181.0,32.2,2362.0,362.0,43.44,30.0
70,Female,150.0,100.0,Moderately Active,Pescatarian,1886.0,106.0,114.5,21.2,1772.0,229.0,27.48,48.0
38,Male,197.0,50.0,Sedentary,Pescatarian,2754.0,83.0,197.5,16.6,2533.0,395.0,47.4,69.0
21,Female,183.0,86.0,Very Active,Pescatarian,1569.0,141.0,88.0,28.2,1934.0,176.0,21.12,74.0
52,Male,173.0,71.0,Moderately Active,Vegan,2702.0,51.0,199.5,10.2,2313.0,399.0,47.88,57.0
61,Male,199.0,104.0,Very Active,Vegan,1846.0,133.0,110.0,26.6,2222.0,220.0,26.4,90.0
36,Male,171.0,81.0,Lightly Active,Vegan,2262.0,84.0,181.5,16.8,2166.0,363.0,43.56,42.0
70,Female,164.0,79.0,Very Active,Omnivore,2482.0,100.0,131.5,20.0,2181.0,263.0,31.56,81.0
20,Male,196.0,80.0,Lightly Active,Pescatarian,2786.0,105.0,155.0,21.0,2461.0,310.0,37.2,89.0
77,Male,184.0,74.0,Very Active,Omnivore,2682.0,166.0,133.5,33.2,2218.0,267.0,32.04,54.0
63,Female,177.0,113.0,Very Active,Vegan,1703.0,171.0,157.0,34.2,2219.0,314.0,37.68,31.0
37,Male,154.0,78.0,Very Active,Omnivore,2562.0,167.0,154.0,33.4,2782.0,308.0,36.96,98.0
41,Male,191.0,97.0,Moderately Active,Omnivore,1537.0,161.0,83.0,32.2,2199.0,166.0,19.92,99.0
69,Female,180.0,112.0,Very Active,Omnivore,2241.0,89.0,99.0,17.8,1499.0,198.0,23.76,39.0
56,Female,177.0,56.0,Sedentary,Omnivore,2489.0,168.0,185.0,33.6,2809.0,370.0,44.4,73.0
74,Female,187.0,82.0,Moderately Active,Vegan,2928.0,99.0,112.5,19.8,2133.0,225.0,27.0,93.0
25,Male,188.0,117.0,Very Active,Pescatarian,2352.0,59.0,120.0,11.8,1718.0,240.0,28.8,58.0
44,Male,171.0,104.0,Moderately Active,Vegan,2383.0,149.0,163.0,29.8,2404.0,326.0,39.12,56.0
26,Female,166.0,68.0,Moderately Active,Vegan,1599.0,108.0,132.0,21.6,1785.0,264.0,31.68,33.0
26,Male,192.0,82.0,Lightly Active,Omnivore,2123.0,174.0,135.5,34.8,2671.0,271.0,32.52,99.0
46,Female,188.0,50.0,Sedentary,Omnivore,2104.0,172.0,155.5,34.4,2463.0,311.0,37.32,59.0
61,Male,192.0,73.0,Moderately Active,Pescatarian,1604.0,149.0,93.5,29.8,1812.0,187.0,22.44,52.0
78,Female,169.0,96.0,Lightly Active,Pescatarian,2016.0,131.0,119.5,26.2,2209.0,239.0,28.68,81.0
21,Female,184.0,96.0,Sedentary,Omnivore,2174.0,63.0,120.5,12.6,1927.0,241.0,28.92,79.0
58,Male,154.0,110.0,Very Active,Pescatarian,2061.0,96.0,170.0,19.2,2239.0,340.0,40.8,55.0
30,Female,166.0,92.0,Lightly Active,Vegan,2415.0,72.0,93.0,14.4,1401.0,186.0,22.32,41.0
53,Male,187.0,119.0,Moderately Active,Vegan,2817.0,85.0,176.5,17.0,2130.0,353.0,42.36,42.0
62,Male,170.0,117.0,Very Active,Vegan,2902.0,127.0,165.0,25.4,2665.0,330.0,39.6,93.0
58,Female,171.0,87.0,Lightly Active,Vegetarian,1657.0,116.0,89.0,23.2,1932.0,178.0,21.36,84.0
75,Male,189.0,88.0,Sedentary,Vegetarian,2372.0,152.0,107.0,30.4,2166.0,214.0,25.68,78.0
36,Female,192.0,107.0,Very Active,Pescatarian,2686.0,61.0,97.0,12.2,1731.0,194.0,23.28,79.0
66,Male,164.0,100.0,Sedentary,Vegetarian,2925.0,144.0,85.0,28.8,2075.0,170.0,20.4,91.0
41,Male,167.0,58.0,Moderately Active,Pescatarian,2826.0,149.0,126.0,29.8,2018.0,252.0,30.24,46.0
53,Female,189.0,111.0,Sedentary,Pescatarian,2180.0,177.0,122.0,35.4,1963.0,244.0,29.28,31.0
24,Female,187.0,97.0,Sedentary,Vegetarian,1817.0,77.0,110.5,15.4,1732.0,221.0,26.52,60.0
52,Female,179.0,98.0,Moderately Active,Vegetarian,1806.0,65.0,183.5,13.0,2601.0,367.0,44.04,97.0
31,Male,158.0,89.0,Very Active,Vegan,1859.0,176.0,152.5,35.2,2275.0,305.0,36.6,39.0
47,Female,164.0,77.0,Moderately Active,Pescatarian,2704.0,73.0,142.0,14.6,1887.0,284.0,34.08,51.0
31,Female,176.0,91.0,Very Active,Omnivore,1962.0,109.0,173.5,21.8,2175.0,347.0,41.64,39.0
55,Female,198.0,75.0,Sedentary,Vegan,2624.0,52.0,94.0,10.4,1419.0,188.0,22.56,51.0
47,Male,170.0,95.0,Moderately Active,Vegetarian,2003.0,153.0,144.0,30.6,2448.0,288.0,34.56,76.0
45,Female,155.0,73.0,Lightly Active,Vegan,2114.0,107.0,113.0,21.4,2205.0,226.0,27.12,97.0
79,Male,158.0,102.0,Very Active,Pescatarian,1566.0,139.0,160.5,27.8,2398.0,321.0,38.52,62.0
74,Female,194.0,110.0,Very Active,Vegan,2210.0,62.0,80.5,12.4,1270.0,161.0,19.32,42.0
20,Male,185.0,95.0,Very Active,Pescatarian,2342.0,99.0,124.0,19.8,1658.0,248.0,29.76,30.0
57,Male,198.0,87.0,Moderately Active,Vegetarian,2150.0,153.0,120.0,30.6,2148.0,240.0,28.8,64.0
52,Female,187.0,104.0,Lightly Active,Omnivore,1975.0,59.0,124.0,11.8,2029.0,248.0,29.76,89.0
31,Female,186.0,113.0,Lightly Active,Omnivore,1847.0,83.0,195.0,16.6,2315.0,390.0,46.8,47.0
33,Female,175.0,95.0,Very Active,Omnivore,1974.0,77.0,166.0,15.4,2374.0,332.0,39.84,82.0
43,Male,188.0,74.0,Moderately Active,Pescatarian,1549.0,117.0,80.0,23.4,1990.0,160.0,19.2,98.0
66,Female,190.0,60.0,Sedentary,Vegetarian,2640.0,66.0,185.5,13.2,2180.0,371.0,44.52,48.0
19,Male,190.0,62.0,Lightly Active,Vegan,2237.0,135.0,156.5,27.0,2548.0,313.0,37.56,84.0
57,Male,154.0,97.0,Very Active,Pescatarian,1644.0,58.0,112.0,11.6,1785.0,224.0,26.88,73.0
49,Male,157.0,112.0,Moderately Active,Pescatarian,2014.0,78.0,135.0,15.6,1815.0,270.0,32.4,47.0
32,Female,158.0,57.0,Sedentary,Pescatarian,2248.0,140.0,117.0,28.0,1874.0,234.0,28.08,42.0
33,Male,172.0,101.0,Lightly Active,Pescatarian,1512.0,123.0,194.5,24.6,2696.0,389.0,46.68,72.0
32,Male,170.0,107.0,Very Active,Omnivore,2442.0,79.0,130.0,15.8,2148.0,260.0,31.2,88.0
66,Female,155.0,63.0,Sedentary,Pescatarian,1595.0,147.0,99.5,29.4,1915.0,199.0,23.88,59.0
66,Male,162.0,83.0,Very Active,Vegan,2904.0,125.0,145.0,25.0,2200.0,290.0,34.8,60.0
29,Male,180.0,58.0,Lightly Active,Vegan,2751.0,114.0,149.5,22.8,1949.0,299.0,35.88,33.0
59,Male,163.0,111.0,Lightly Active,Pescatarian,2571.0,80.0,129.5,16.0,2076.0,259.0,31.08,80.0
29,Female,169.0,77.0,Very Active,Vegetarian,2985.0,94.0,180.0,18.8,2671.0,360.0,43.2,95.0
65,Male,187.0,75.0,Moderately Active,Pescatarian,1738.0,109.0,98.5,21.8,1773.0,197.0,23.64,61.0
51,Female,186.0,71.0,Lightly Active,Vegetarian,2235.0,50.0,141.5,10.0,2007.0,283.0,33.96,75.0
18,Female,197.0,96.0,Moderately Active,Pescatarian,2294.0,95.0,126.0,19.0,1685.0,252.0,30.24,33.0
31,Male,187.0,70.0,Sedentary,Vegan,2876.0,150.0,198.5,30.0,2476.0,397.0,47.64,32.0
68,Male,169.0,95.0,Lightly Active,Omnivore,2874.0,106.0,81.0,21.2,1450.0,162.0,19.44,42.0
50,Female,198.0,71.0,Sedentary,Vegan,1616.0,124.0,160.5,24.8,2221.0,321.0,38.52,49.0
71,Male,191.0,68.0,Lightly Active,Pescatarian,1707.0,168.0,75.0,33.6,1569.0,150.0,18.0,33.0
53,Female,170.0,84.0,Sedentary,Pescatarian,2229.0,55.0,188.5,11.0,2592.0,377.0,45.24,96.0
65,Male,192.0,84.0,Moderately Active,Vegan,1850.0,56.0,174.5,11.2,2205.0,349.0,41.88,65.0
39,Female,175.0,91.0,Sedentary,Pescatarian,2000.0,168.0,136.5,33.6,2178.0,273.0,32.76,46.0
33,Male,156.0,110.0,Sedentary,Pescatarian,2708.0,74.0,133.0,14.8,2179.0,266.0,31.92,91.0
25,Male,192.0,90.0,Moderately Active,Omnivore,1630.0,87.0,157.0,17.4,2261.0,314.0,37.68,73.0
46,Male,174.0,118.0,Moderately Active,Pescatarian,2130.0,158.0,137.0,31.6,2007.0,274.0,32.88,31.0
